rank,teamName,institution,problemsSolved,totalTime,penalty,isWomanOnly,username
71,Nah We'd Win,Indian Institute of Technology Dhanbad,6,08:01:43,3,false
72,The Blasters,Indian Institute of Technology Madras,6,08:04:29,1,false
73,takeabyte,Jadavpur University,6,08:05:37,0,false
74,Goblin Barrel,"National Institute of Technology, Calicut",6,08:07:26,4,false
75,Retired_Retards,"International Institute of Information Technology, Naya Raipur",6,08:22:03,3,false
76,LAL Fund,"Indian Institute of Information Technology, Allahabad",6,08:25:49,3,false
77,Zhakaas,"International Institute of Information Technology, Bangalore",6,08:26:37,1,false
78,Hope_is_hard,"Veermata Jijabai Technological Institute, Mumbai",6,08:36:17,1,false
79,descendants of Tourist,"National Institute of Technology, Rourkela",6,08:38:55,3,false
80,ThreeStacks,Indian Institute of Technology Ropar,6,08:48:27,3,false
81,Array of hope,"Indraprastha Institute of Information Technology, Delhi",6,08:50:57,5,false
82,3+3>5,"Indian Institute of Information Technology, Nagpur",6,09:00:43,6,false
83,NoIdea,Indian Institute of Technology (BHU) Varanasi,6,09:00:55,3,false
84,O(R^2*T),Indian Institute of Technology Guwahati,6,09:01:30,1,false
85,Koders Klub,"Walchand College of Engineering, Sangli",6,09:06:21,4,false
86,bit_manipulators,Delhi Technological University,6,09:13:16,1,false
87,Equinox,Indian Institute of Technology Ropar,6,09:14:29,4,false
88,mdspan,"Indian Institute of Information Technology, Sri City",6,09:14:31,5,false
89,owo,National Institute of Technology Raipur,6,09:24:00,1,false
90,Wrong Angled Triangle,VNR Vignana Jyothi Institute of Engineering and Technology,6,09:31:19,3,false
91,MSB_overflow,"Birla Institute of Technology & Science Pilani, Pilani Campus",6,09:38:45,5,false
92,Debugging ducks,"National Institute of Technology, Calicut",6,09:47:24,2,false
93,just_better,Indian Institute Of Technology - Bombay,6,09:52:14,3,false
94,XoRiers,"Pandit Deendayal Energy University, Gandhinagar",6,09:59:32,4,false
95,CppOnly,"Indian Institute of Information Technology, Pune",6,10:10:35,5,false
96,We_only_know_BruteForce,Nirma University,6,10:13:48,6,false
97,CrystaLMatH,"Indian Institute of Technology, Jodhpur",6,10:13:49,3,false
98,BLWs,Jaypee Institute of Information Technology,6,10:17:58,5,false
99,TLE : Talent Limit Exceeded,Chandigarh University,6,10:23:22,3,false
100,Guffawed,Indian Institute of Technology Guwahati,6,10:29:13,4,false
101,ERRor not found,Indian Institute of Technology Kharagpur,6,10:57:39,7,false
102,TripleEyeTea_DMK,"Indian Institute of Information Technology Design and Manufacturing, Kurnool",6,11:08:48,2,false
103,Cheta3Tea,National Institute of Technology Tiruchirappalli,6,11:09:57,5,false
104,3-STOOD,Indian Institute of Technology Dhanbad,6,11:10:20,7,false
105,tourist_ka_baap,"Indian Institute of Information Technology, Lucknow",6,11:12:47,6,false
106,way2AC,Indian Institute of Technology Gandhinagar,6,11:24:32,1,false
107,WA_addicts,Indian Institute of Technology Guwahati,6,11:27:00,7,false
108,Naam bade Darshan chote,"Indian Institute of Information Technology, Pune",6,11:28:06,6,false
109,Mamba_Out,"National Institute of Technology, Hamirpur",6,11:29:11,6,false
110,EMO,"Harcourt Butler Technical University, Kanpur",6,11:30:35,4,false
